First Name,Last Name,Email,Location,Sector,Major Expertise,Minor Expertise,Min Salary,Max Salary,Years Experience,WFH Days,Skills,Job Type,Last Moved Years,Move Status
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Pricing,Lloyd's Syndicate,"[""Lloyd's Syndicate"" 'London Market']",89000,104361.7345,6,1,['Head of Reserving' 'Model Building' 'Tyche' 'Radar' 'Excel'],Permanent,1,Open Minded
redacted fn,redacted ln,redacted email,Cardiff,General Insurance - Pricing,Reinsurance Broker,['Reinsurance Broker'],29000,34784.46158,1,4,"['Tyche' 'Model Building' 'Personal Lines' 'Excel' 'Short-Tail Pricing'
 'Business Planning' 'Long-Tail Pricing']",Permanent,1,Actively Looking
redacted fn,redacted ln,redacted email,Edinburgh,General Insurance - Capital Modelling,Reinsurer,['Personal Lines' 'Reinsurer'],55000,60976.12972,3,4,['Python' 'Managerial' 'Long-Tail Pricing' 'Radar' 'Model Building'],Contractor,1,Unlikely to Move
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Capital Modelling,Lloyd's Syndicate,"[""Lloyd's Syndicate"" 'Reinsurance Broker' 'Personal Lines']",141000,168190.4894,8,2,"['Chief Actuary' 'Lloyds' 'Reinsurance Pricing' 'Head of Capital' 'Radar'
 'Head of Pricing']",Permanent,7,Actively Looking
redacted fn,redacted ln,redacted email,Manchester,General Insurance - Pricing,Broker,['London Market' 'Broker'],56000,66794.8267,3,5,"['Model Building' 'Python' 'Tyche' 'Consultancy' 'Long-Tail Pricing'
 'Lloyds' 'Short-Tail Pricing' 'Excel' 'Radar' 'Managerial']",Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,Dublin,General Insurance - Reserving,Regulator,['Reinsurance Broker' 'Regulator'],138000,153836.2289,8,3,"['Short-Tail Pricing' 'Chief Actuary' 'R' 'Radar' 'Python'
 'Model Building']",Permanent,1,Actively Looking
redacted fn,redacted ln,redacted email,Edinburgh,General Insurance - Reserving,Broker,['Broker'],152000,189066.8145,10,1,"['Model Building' 'R' 'Long-Tail Pricing' 'Radar' 'Reinsurance Pricing'
 'Head of Pricing' 'Chief Actuary' 'Head of Reserving'
 'Short-Tail Pricing' 'Head of Capital' 'Consultancy' 'Excel']",Permanent,5,Actively Looking
redacted fn,redacted ln,redacted email,Bristol,General Insurance - Reserving,Commercial Lines,['Commercial Lines'],79000,99913.96872,7,2,['Head of Reserving' 'Excel' 'Long-Tail Pricing'],Permanent,7,Actively Looking
redacted fn,redacted ln,redacted email,London,General Insurance - Capital Modelling,Commercial Lines,['Regulator' 'Commercial Lines' 'Personal Lines'],113000,141016.0559,6,5,"['Consultancy' 'Excel' 'Head of Capital' 'Radar' 'R' 'Python'
 'Head of Pricing' 'Short-Tail Pricing' 'Model Building'
 'Reinsurance Pricing' 'Long-Tail Pricing' 'Lloyds' 'Managerial']",Permanent,2,Open Minded
redacted fn,redacted ln,redacted email,Birmingham,General Insurance - Reserving,Regulator,['Regulator' 'Reinsurer'],70000,79068.04973,6,4,"['Radar' 'R' 'Managerial' 'Short-Tail Pricing' 'Head of Reserving'
 'Long-Tail Pricing' 'Tyche' 'Lloyds' 'Reinsurance Pricing' 'Excel'
 'Model Building' 'Head of Capital' 'Consultancy' 'Head of Pricing']",Contractor,4,Urgently Looking
redacted fn,redacted ln,redacted email,Edinburgh,General Insurance - Capital Modelling,Consultancy,['Consultancy'],37000,42218.70663,2,4,"['Managerial' 'Consultancy' 'Lloyds' 'Excel' 'Reinsurance Pricing'
 'Python' 'R' 'Short-Tail Pricing' 'Radar']",Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,Dublin,General Insurance - Pricing,Reinsurer,['Reinsurer'],149000,174906.8381,8,2,['Head of Capital' 'R'],Contractor,4,Open Minded
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Pricing,Lloyd's Syndicate,"[""Lloyd's Syndicate"" 'Commercial Lines']",34000,37571.80298,2,3,"['Python' 'Radar' 'Short-Tail Pricing' 'Model Building' 'Excel'
 'Long-Tail Pricing' 'Reinsurance Pricing' 'Tyche']",Permanent,2,Actively Looking
redacted fn,redacted ln,redacted email,Birmingham,General Insurance - Reserving,Commercial Lines,['Commercial Lines'],28000,35853.20387,1,1,['Broker' 'Tyche' 'Business Planning'],Permanent,1,Actively Looking
redacted fn,redacted ln,redacted email,Belfast,General Insurance - Capital Modelling,Consultancy,['Broker' 'Consultancy'],37000,47162.63937,2,3,['R' 'Tyche' 'Model Building' 'Consultancy' 'Short-Tail Pricing'],Contractor,1,Actively Looking
redacted fn,redacted ln,redacted email,Manchester,General Insurance - Reserving,London Market,['Regulator' 'Reinsurance Broker' 'London Market'],65000,80577.22321,5,2,['Excel' 'Python' 'Long-Tail Pricing' 'Radar'],Permanent,1,Open Minded
redacted fn,redacted ln,redacted email,London,General Insurance - Reserving,Lloyd's Syndicate,"[""Lloyd's Syndicate"" 'Personal Lines' 'Broker']",95000,108863.981,6,1,"['Excel' 'Short-Tail Pricing' 'R' 'Head of Reserving' 'Consultancy'
 'Head of Capital' 'Long-Tail Pricing' 'Lloyds' 'Managerial' 'Python'
 'Tyche' 'Head of Pricing' 'Radar']",Permanent,3,Actively Looking
redacted fn,redacted ln,redacted email,Manchester,General Insurance - Capital Modelling,Lloyd's Syndicate,"[""Lloyd's Syndicate""]",91000,116746.6706,7,2,"['Short-Tail Pricing' 'Long-Tail Pricing' 'Model Building'
 'Head of Reserving' 'Radar' 'Reinsurance Pricing' 'R' 'Managerial'
 'Head of Pricing' 'Python' 'Tyche']",Contractor,0,Actively Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Reserving,Broker,"['Reinsurance Broker' 'Broker' ""Lloyd's Syndicate""]",160000,198038.201,9,4,['Head of Capital' 'Head of Reserving'],Permanent,2,Actively Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Reserving,Reinsurance Broker,"[""Lloyd's Syndicate"" 'Regulator' 'Reinsurance Broker']",25000,29595.5327,1,1,['R' 'Broker'],Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,London,General Insurance - Pricing,Consultancy,['Consultancy'],84000,95474.76482,5,3,"['Model Building' 'Tyche' 'Long-Tail Pricing' 'Managerial' 'Radar'
 'Reinsurance Pricing']",Permanent,0,Unlikely to Move
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Capital Modelling,Reinsurer,['Reinsurer' 'Consultancy'],49000,58088.95481,3,2,"['R' 'Consultancy' 'Tyche' 'Managerial' 'Model Building' 'Lloyds' 'Excel'
 'Long-Tail Pricing' 'Radar']",Permanent,3,Actively Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Pricing,Commercial Lines,['Commercial Lines' 'Consultancy'],94000,119906.0822,6,1,"['Excel' 'Head of Reserving' 'Managerial' 'Consultancy' 'Model Building'
 'Head of Pricing']",Permanent,0,Open Minded
redacted fn,redacted ln,redacted email,Belfast,General Insurance - Capital Modelling,Consultancy,['Consultancy'],190000,234954.9148,10,1,"['Long-Tail Pricing' 'Model Building' 'Head of Capital' 'R'
 'Head of Pricing' 'Excel']",Permanent,5,Actively Looking
redacted fn,redacted ln,redacted email,Manchester,General Insurance - Pricing,Reinsurance Broker,['Reinsurance Broker'],79000,90570.78632,7,1,['Consultancy' 'R'],Permanent,2,Open Minded
redacted fn,redacted ln,redacted email,Glasgow,General Insurance - Reserving,Reinsurance Broker,['Reinsurance Broker' 'Personal Lines'],158000,175742.9661,9,0,"['R' 'Short-Tail Pricing' 'Consultancy' 'Model Building' 'Head of Capital'
 'Radar' 'Managerial' 'Reinsurance Pricing' 'Lloyds' 'Long-Tail Pricing']",Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Pricing,Reinsurer,['Reinsurer' 'Broker'],114000,126656.531,6,3,"['Python' 'Head of Reserving' 'Radar' 'Consultancy' 'Reinsurance Pricing'
 'Model Building']",Permanent,6,Actively Looking
redacted fn,redacted ln,redacted email,Nottingham,General Insurance - Pricing,Commercial Lines,['Commercial Lines' 'Reinsurance Broker'],98000,114252.789,6,3,"['Model Building' 'Tyche' 'Head of Reserving' 'Excel' 'Head of Capital'
 'R']",Permanent,5,Urgently Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Capital Modelling,Reinsurer,['Reinsurer'],59000,73431.08346,3,0,"['R' 'Lloyds' 'Short-Tail Pricing' 'Tyche' 'Reinsurance Pricing' 'Excel'
 'Managerial' 'Long-Tail Pricing' 'Model Building']",Permanent,1,Actively Looking
redacted fn,redacted ln,redacted email,Belfast,General Insurance - Pricing,Lloyd's Syndicate,"[""Lloyd's Syndicate""]",29000,32814.60995,1,4,"['Radar' 'Personal Lines' 'Tyche' 'Data Science' 'Model Building'
 'Short-Tail Pricing']",Contractor,0,Unlikely to Move
redacted fn,redacted ln,redacted email,Sheffield,General Insurance - Pricing,London Market,['London Market' 'Regulator'],23000,29433.62269,0,4,['Data Science' 'Emblem'],Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Reserving,Commercial Lines,['Commercial Lines'],173000,196171.3463,9,0,['Chief Actuary' 'Head of Capital' 'Long-Tail Pricing' 'Tyche'],Permanent,4,Open Minded
redacted fn,redacted ln,redacted email,Edinburgh,General Insurance - Capital Modelling,Reinsurance Broker,['Regulator' 'Reinsurance Broker' 'Consultancy'],183000,227972.0359,10,1,"['Head of Capital' 'Reinsurance Pricing' 'Short-Tail Pricing'
 'Long-Tail Pricing']",Permanent,3,Actively Looking
redacted fn,redacted ln,redacted email,Liverpool,General Insurance - Pricing,Broker,['Broker'],85000,102695.802,6,1,['Model Building' 'Tyche' 'Head of Pricing'],Permanent,1,Actively Looking
redacted fn,redacted ln,redacted email,Manchester,General Insurance - Pricing,Consultancy,['Reinsurer' 'Consultancy' 'London Market'],36000,42524.00733,2,3,"['Python' 'Long-Tail Pricing' 'Reinsurance Pricing' 'Excel' 'Radar'
 'Consultancy' 'R' 'Lloyds' 'Managerial' 'Model Building' 'Tyche']",Permanent,2,Actively Looking
redacted fn,redacted ln,redacted email,Sheffield,General Insurance - Reserving,Lloyd's Syndicate,"[""Lloyd's Syndicate""]",26000,29739.76769,1,3,"['Short-Tail Pricing' 'Model Building' 'R' 'Broker' 'Long-Tail Pricing'
 'Tyche' 'Business Planning' 'Excel' 'Personal Lines']",Permanent,1,Actively Looking
redacted fn,redacted ln,redacted email,Manchester,General Insurance - Pricing,Regulator,['Reinsurer' 'Regulator'],128000,153475.2835,7,5,"['Python' 'Head of Reserving' 'Tyche' 'Model Building' 'Managerial'
 'Excel' 'Head of Capital' 'Consultancy' 'R' 'Lloyds']",Permanent,2,Actively Looking
redacted fn,redacted ln,redacted email,Belfast,General Insurance - Capital Modelling,Broker,['Commercial Lines' 'Broker'],21000,27251.44482,0,2,['Excel' 'Long-Tail Pricing' 'Model Building' 'Python'],Permanent,0,Urgently Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Capital Modelling,London Market,['London Market' 'Consultancy'],110000,137154.368,8,0,['Managerial' 'Model Building' 'Chief Actuary' 'Excel'],Permanent,2,Open Minded
redacted fn,redacted ln,redacted email,Nottingham,General Insurance - Pricing,Reinsurance Broker,['Commercial Lines' 'Reinsurance Broker' 'London Market'],23000,29441.41902,0,3,['Data Science' 'Model Building' 'Excel' 'Emblem' 'Python'],Permanent,0,Unlikely to Move
redacted fn,redacted ln,redacted email,Edinburgh,General Insurance - Reserving,Commercial Lines,['Reinsurance Broker' 'Personal Lines' 'Commercial Lines'],153000,175705.6805,9,5,['Chief Actuary' 'R' 'Managerial' 'Lloyds' 'Head of Reserving'],Permanent,0,Urgently Looking
redacted fn,redacted ln,redacted email,Nottingham,General Insurance - Reserving,Lloyd's Syndicate,"[""Lloyd's Syndicate"" 'Commercial Lines' 'Reinsurer']",102000,125136.2441,8,1,"['Radar' 'Short-Tail Pricing' 'Tyche' 'Head of Pricing' 'R' 'Managerial'
 'Consultancy' 'Chief Actuary']",Permanent,4,Actively Looking
redacted fn,redacted ln,redacted email,Bristol,General Insurance - Reserving,Commercial Lines,['Commercial Lines'],101000,116596.1301,7,1,"['Long-Tail Pricing' 'R' 'Short-Tail Pricing' 'Radar' 'Model Building'
 'Tyche' 'Head of Reserving' 'Python']",Permanent,6,Open Minded
redacted fn,redacted ln,redacted email,Manchester,General Insurance - Capital Modelling,Personal Lines,['Regulator' 'Personal Lines' 'Reinsurer'],84000,97150.93527,4,3,"['Radar' 'Long-Tail Pricing' 'Reinsurance Pricing' 'Model Building'
 'Excel' 'Managerial']",Permanent,3,Actively Looking
redacted fn,redacted ln,redacted email,Sheffield,General Insurance - Capital Modelling,Reinsurer,['Reinsurer' 'Broker'],66000,83191.78305,4,2,"['Excel' 'Short-Tail Pricing' 'Managerial' 'Tyche' 'Reinsurance Pricing'
 'Radar']",Contractor,3,Actively Looking
redacted fn,redacted ln,redacted email,Dublin,General Insurance - Reserving,Regulator,['Regulator'],154000,178081.4578,9,3,"['Tyche' 'Model Building' 'Head of Pricing' 'Chief Actuary'
 'Short-Tail Pricing' 'R' 'Consultancy']",Permanent,9,Open Minded
redacted fn,redacted ln,redacted email,Birmingham,General Insurance - Capital Modelling,Reinsurer,"[""Lloyd's Syndicate"" 'Broker' 'Reinsurer']",63000,77672.02775,3,3,"['Excel' 'Consultancy' 'Python' 'Short-Tail Pricing' 'Tyche' 'Radar'
 'Model Building' 'Long-Tail Pricing' 'Lloyds' 'Managerial']",Permanent,0,Unlikely to Move
redacted fn,redacted ln,redacted email,Edinburgh,General Insurance - Reserving,Broker,['Broker' 'Commercial Lines'],112000,134796.3329,8,5,['Consultancy' 'Python' 'Head of Capital' 'Excel'],Permanent,4,Actively Looking
redacted fn,redacted ln,redacted email,Glasgow,General Insurance - Pricing,Reinsurer,['Reinsurer'],25000,28772.05637,1,1,['Short-Tail Pricing' 'Tyche' 'Model Building'],Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,Birmingham,General Insurance - Pricing,Lloyd's Syndicate,"[""Lloyd's Syndicate"" 'Personal Lines' 'Broker']",74000,93096.67799,4,1,"['Python' 'R' 'Excel' 'Reinsurance Pricing' 'Short-Tail Pricing' 'Tyche'
 'Radar' 'Model Building' 'Consultancy' 'Lloyds']",Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,Birmingham,General Insurance - Pricing,Regulator,['Reinsurer' 'Regulator'],114000,134935.6047,6,0,"['Python' 'Head of Reserving' 'Lloyds' 'Long-Tail Pricing'
 'Model Building' 'Managerial' 'Radar' 'R' 'Tyche' 'Head of Pricing'
 'Short-Tail Pricing' 'Excel']",Contractor,3,Open Minded
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Reserving,Lloyd's Syndicate,"['Consultancy' 'Personal Lines' ""Lloyd's Syndicate""]",104000,134866.9657,7,5,"['Lloyds' 'R' 'Head of Capital' 'Consultancy' 'Short-Tail Pricing' 'Tyche'
 'Excel' 'Managerial' 'Head of Reserving' 'Model Building']",Contractor,2,Urgently Looking
redacted fn,redacted ln,redacted email,Nottingham,General Insurance - Pricing,Consultancy,['Consultancy' 'Reinsurer' 'Commercial Lines'],22000,26292.27848,0,1,['Excel' 'Data Science'],Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,Cardiff,General Insurance - Capital Modelling,Reinsurer,['Reinsurer' 'London Market'],93000,109592.493,8,1,"['Long-Tail Pricing' 'Model Building' 'Excel' 'Tyche' 'Python' 'Lloyds'
 'Head of Reserving' 'Short-Tail Pricing' 'R' 'Head of Capital'
 'Head of Pricing']",Permanent,4,Actively Looking
redacted fn,redacted ln,redacted email,London,General Insurance - Pricing,Broker,['Broker'],97000,109113.2399,6,0,"['Short-Tail Pricing' 'Model Building' 'Radar' 'Consultancy' 'Excel'
 'Head of Pricing' 'Tyche' 'Managerial' 'Long-Tail Pricing']",Permanent,2,Urgently Looking
redacted fn,redacted ln,redacted email,Nottingham,General Insurance - Capital Modelling,London Market,['Reinsurance Broker' 'London Market' 'Commercial Lines'],82000,96335.94463,5,0,"['Managerial' 'Model Building' 'Long-Tail Pricing' 'Consultancy'
 'Short-Tail Pricing' 'Lloyds' 'Tyche' 'Radar' 'R']",Permanent,5,Open Minded
redacted fn,redacted ln,redacted email,Dublin,General Insurance - Reserving,Reinsurance Broker,['Reinsurance Broker' 'Reinsurer'],140000,179590.3806,9,1,"['Head of Reserving' 'Lloyds' 'Managerial' 'Tyche' 'Chief Actuary'
 'Head of Pricing' 'Model Building' 'Long-Tail Pricing' 'Radar' 'Excel'
 'Reinsurance Pricing' 'Python' 'Consultancy' 'R' 'Short-Tail Pricing']",Permanent,6,Urgently Looking
redacted fn,redacted ln,redacted email,Nottingham,General Insurance - Pricing,Reinsurer,['Reinsurer'],21000,24032.06089,0,2,['Excel' 'Data Science' 'Emblem' 'Long-Tail Pricing' 'Python'],Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,Glasgow,General Insurance - Capital Modelling,Reinsurance Broker,['Reinsurance Broker'],92000,103854.7742,8,2,"['Reinsurance Pricing' 'Managerial' 'Head of Pricing' 'Model Building'
 'Chief Actuary' 'Short-Tail Pricing' 'Python' 'Excel' 'Head of Capital'
 'Consultancy' 'Lloyds' 'Tyche' 'Long-Tail Pricing' 'Radar']",Permanent,8,Actively Looking
redacted fn,redacted ln,redacted email,Cardiff,General Insurance - Capital Modelling,Regulator,['Regulator'],30000,38607.78587,2,2,['Radar' 'Consultancy' 'Short-Tail Pricing' 'R' 'Long-Tail Pricing'],Contractor,2,Actively Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Reserving,Reinsurer,['Reinsurer'],75000,90927.43364,7,0,"['Tyche' 'R' 'Head of Pricing' 'Short-Tail Pricing' 'Python'
 'Head of Reserving' 'Radar' 'Reinsurance Pricing' 'Lloyds'
 'Model Building' 'Head of Capital']",Permanent,1,Actively Looking
redacted fn,redacted ln,redacted email,Glasgow,General Insurance - Capital Modelling,Regulator,['Regulator'],34000,38784.22775,2,5,"['Radar' 'Consultancy' 'Reinsurance Pricing' 'Tyche' 'Lloyds'
 'Short-Tail Pricing' 'Managerial' 'Excel' 'Model Building' 'Python'
 'Long-Tail Pricing']",Permanent,2,Unlikely to Move
redacted fn,redacted ln,redacted email,Manchester,General Insurance - Capital Modelling,London Market,['Reinsurer' 'Regulator' 'London Market'],37000,45177.31359,2,5,"['Python' 'Radar' 'Managerial' 'Tyche' 'R' 'Consultancy'
 'Long-Tail Pricing' 'Model Building' 'Lloyds' 'Short-Tail Pricing']",Permanent,0,Open Minded
redacted fn,redacted ln,redacted email,Manchester,General Insurance - Pricing,Regulator,['Personal Lines' 'Consultancy' 'Regulator'],33000,37025.6509,2,2,"['Long-Tail Pricing' 'Reinsurance Pricing' 'Python' 'Consultancy'
 'Short-Tail Pricing' 'Model Building' 'Managerial' 'Excel']",Permanent,1,Actively Looking
redacted fn,redacted ln,redacted email,Glasgow,General Insurance - Pricing,Reinsurance Broker,['Personal Lines' 'Reinsurance Broker'],94000,108020.8349,6,1,"['Head of Pricing' 'Reinsurance Pricing' 'R' 'Excel' 'Lloyds'
 'Short-Tail Pricing' 'Radar' 'Consultancy' 'Tyche' 'Model Building']",Permanent,2,Actively Looking
redacted fn,redacted ln,redacted email,Manchester,General Insurance - Pricing,Consultancy,['Consultancy' 'London Market'],157000,202606.9179,9,4,['Radar' 'Short-Tail Pricing' 'Head of Reserving'],Contractor,9,Actively Looking
redacted fn,redacted ln,redacted email,Birmingham,General Insurance - Capital Modelling,Regulator,['Regulator'],32000,38635.1692,2,3,['Python' 'Lloyds'],Permanent,2,Actively Looking
redacted fn,redacted ln,redacted email,London,General Insurance - Capital Modelling,Commercial Lines,['Commercial Lines'],61000,75472.15849,5,5,"['Long-Tail Pricing' 'Radar' 'Excel' 'Tyche' 'Managerial'
 'Reinsurance Pricing']",Contractor,3,Actively Looking
redacted fn,redacted ln,redacted email,Dublin,General Insurance - Pricing,Commercial Lines,['Reinsurer' 'Commercial Lines'],26000,30840.09582,1,3,['Data Science' 'Model Building'],Permanent,1,Urgently Looking
redacted fn,redacted ln,redacted email,London,General Insurance - Reserving,Reinsurance Broker,['Reinsurance Broker'],167000,206065.0376,9,0,"['Reinsurance Pricing' 'Head of Reserving' 'Python' 'R' 'Tyche'
 'Head of Pricing' 'Long-Tail Pricing' 'Lloyds' 'Excel' 'Managerial'
 'Model Building' 'Short-Tail Pricing']",Permanent,9,Actively Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Pricing,London Market,['Commercial Lines' 'London Market' 'Consultancy'],149000,180788.9247,7,1,"['Python' 'Tyche' 'Head of Reserving' 'Excel' 'Short-Tail Pricing'
 'Consultancy']",Permanent,2,Actively Looking
redacted fn,redacted ln,redacted email,Belfast,General Insurance - Reserving,London Market,['Broker' 'London Market' 'Reinsurer'],118000,132600.0913,8,5,"['Long-Tail Pricing' 'Reinsurance Pricing' 'Head of Reserving'
 'Chief Actuary' 'Python' 'Consultancy' 'Short-Tail Pricing' 'Lloyds' 'R']",Permanent,2,Actively Looking
redacted fn,redacted ln,redacted email,Belfast,General Insurance - Capital Modelling,Broker,['Broker'],163000,208815.7279,10,5,"['Consultancy' 'Head of Pricing' 'Model Building' 'Chief Actuary' 'Tyche'
 'Short-Tail Pricing' 'Python' 'Radar']",Permanent,3,Open Minded
redacted fn,redacted ln,redacted email,Liverpool,General Insurance - Reserving,Consultancy,['Consultancy' 'Broker' 'Personal Lines'],58000,65226.90738,3,2,['Tyche' 'Managerial' 'Short-Tail Pricing' 'Python'],Permanent,0,Urgently Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Reserving,Personal Lines,['Personal Lines' 'Commercial Lines'],64000,74093.83181,4,1,"['Tyche' 'Lloyds' 'Managerial' 'R' 'Consultancy' 'Excel' 'Radar'
 'Reinsurance Pricing' 'Model Building' 'Python']",Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Pricing,Broker,['London Market' 'Broker'],79000,99043.43346,4,3,"['Excel' 'Reinsurance Pricing' 'Model Building' 'Lloyds'
 'Long-Tail Pricing' 'Consultancy' 'Tyche' 'Short-Tail Pricing' 'R'
 'Radar']",Permanent,1,Actively Looking
redacted fn,redacted ln,redacted email,Belfast,General Insurance - Capital Modelling,Consultancy,"['Consultancy' ""Lloyd's Syndicate"" 'Reinsurance Broker']",147000,165107.7049,9,1,['Radar' 'Managerial' 'Python' 'Excel' 'Head of Pricing'],Contractor,6,Actively Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Capital Modelling,Commercial Lines,['Commercial Lines'],148000,179915.6186,8,2,"['Model Building' 'Chief Actuary' 'Consultancy' 'Short-Tail Pricing'
 'Tyche' 'Lloyds' 'Reinsurance Pricing' 'R' 'Excel' 'Long-Tail Pricing'
 'Head of Reserving' 'Head of Pricing' 'Managerial']",Permanent,6,Actively Looking
redacted fn,redacted ln,redacted email,Bristol,General Insurance - Reserving,Commercial Lines,"['Commercial Lines' 'Consultancy' ""Lloyd's Syndicate""]",104000,130028.7145,6,2,"['Excel' 'Model Building' 'Short-Tail Pricing' 'Tyche' 'Head of Reserving'
 'Radar' 'R' 'Lloyds' 'Head of Pricing' 'Python' 'Consultancy'
 'Managerial' 'Long-Tail Pricing' 'Reinsurance Pricing']",Permanent,1,Open Minded
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Pricing,Consultancy,['Consultancy'],29000,32106.09781,1,2,"['Radar' 'Business Planning' 'Model Building' 'Tyche' 'Long-Tail Pricing'
 'Excel' 'Personal Lines']",Permanent,1,Actively Looking
redacted fn,redacted ln,redacted email,Liverpool,General Insurance - Capital Modelling,Reinsurer,['Reinsurer'],89000,99940.28598,5,0,"['Long-Tail Pricing' 'Radar' 'Consultancy' 'Reinsurance Pricing'
 'Short-Tail Pricing' 'Tyche' 'R']",Permanent,2,Open Minded
